feature,mean_shap
Age,0.7259403
BusinessTravel,0.39367267
DailyRate,0.37538314
Department,0.36943915
DistanceFromHome,0.3691001
Education,0.368243
EducationField,0.34490827
EnvironmentSatisfaction,0.31157914
Gender,0.26380143
HourlyRate,0.24196877
JobInvolvement,0.24089365
JobLevel,0.23816517
JobRole,0.22726248
JobSatisfaction,0.17057343
MaritalStatus,0.16129197
MonthlyIncome,0.14462121
MonthlyRate,0.1423479
NumCompaniesWorked,0.13919283
OverTime,0.1337429
PercentSalaryHike,0.13193578
PerformanceRating,0.12935972
RelationshipSatisfaction,0.1281618
StockOptionLevel,0.12717558
TotalWorkingYears,0.12635766
TrainingTimesLastYear,0.11830223
WorkLifeBalance,0.10697457
YearsAtCompany,0.10045917
YearsInCurrentRole,0.09193737
YearsSinceLastPromotion,0.08407635
YearsWithCurrManager,0.07658537
IncomePerYear,0.07635361
SatisfactionScore,0.07383053
TenureRatio,0.05990155
PromotionGap,0.045111567
SalaryExperienceGap,0.0002993762
